disease,symptoms
Iatrogenic Disease,Fever Birth Weight Obesity Edema Eye Manifestations Neurologic Manifestations Hyperkinesis Psychomotor Agitation Syncope Myotonia Pain Headache Hemiplegia Psychophysiologic Disorders Hearing Disorders Deafness Hearing Loss Noise-Induced Ageusia Vision Disorders Hemianopsia Hoarseness Oral Manifestations Oral Hemorrhage Abdomen Acute Angina Pectoris Angina Unstable Diarrhea Hematemesis Anoxia Fetal Hypoxia Skin Manifestations Jaundice Hirsutism 
Rare Diseases,Fever Fever of Unknown Origin Ataxia Dystonia Torticollis Mental Retardation Muscle Weakness Pain Back Pain Neuralgia Facial Paralysis Hemiplegia Reflex Abnormal Seizures Sensation Disorders Paresthesia Vision Disorders Amblyopia Blindness Abdomen Acute Angina Pectoris Anorexia Diarrhea Diarrhea Infantile Vomiting Dyspnea Hemoptysis Purpura Thrombocytopenic Idiopathic Proteinuria 
Emphysema,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Weight Gain Weight Loss Emaciation Obesity Obesity Morbid Thinness Cyanosis Edema Eye Manifestations Eye Hemorrhage Fatigue Neurologic Manifestations Tremor Confusion Consciousness Disorders Coma Syncope Syncope Vasovagal Mental Retardation Muscle Rigidity Muscle Weakness Muscular Atrophy Spasm Pain Back Pain Low Back Pain Headache Neck Pain Sciatica Pain Intractable Gastroparesis Paraplegia Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Seizures Hearing Disorders Hearing Loss Deafness Tinnitus Hypesthesia Vision Disorders Blindness Diplopia Sleep Disorders Urinary Bladder Neurogenic Voice Disorders Abdominal Pain Abdomen Acute Colic Chest Pain Angina Pectoris Flank Pain Aerophagy Anorexia Diarrhea Dyspepsia Flatulence Nausea Vomiting Anoxia Apnea Cough Dyspnea Dyspnea Paroxysmal Hemoptysis Hypercapnia Hyperoxia Hyperventilation Hypoventilation Respiratory Sounds Sneezing Skin Manifestations Jaundice Oliguria Polyuria Urinary Incontinence Urinary Incontinence Stress 
Subcutaneous Emphysema,Fever Birth Weight Fetal Macrosomia Edema Eye Hemorrhage Speech Disorders Consciousness Disorders Mental Retardation Pain Facial Pain Neck Pain Paralysis Quadriplegia Respiratory Paralysis Psychophysiologic Disorders Seizures Blindness Diplopia Voice Disorders Abdominal Pain Abdomen Acute Shoulder Pain Chest Pain Earache Aerophagy Constipation Diarrhea Nausea Postoperative Nausea and Vomiting Vomiting Anoxia Apnea Cough Dyspnea Hypercapnia Hyperventilation Respiratory Aspiration Respiratory Sounds Sneezing Jaundice Obstructive Purpura Urinary Incontinence Stress 
Extravasation of Diagnostic and Therapeutic Materials,Fever Hypothermia Body Weight Obesity Obesity Morbid Edema Aphasia Consciousness Disorders Amnesia Mental Retardation Muscle Weakness Spasm Pain Back Pain Low Back Pain Facial Pain Neck Pain Sciatica Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Vocal Cord Paralysis Paresis Seizures Hyperacusis Hypesthesia Paresthesia Vision Disorders Blindness Blindness Cortical Photophobia Urinary Bladder Neurogenic Abdomen Acute Colic Shoulder Pain Chest Pain Diarrhea Postoperative Nausea and Vomiting Anoxia Dyspnea Ecchymosis Pruritus Urinary Incontinence Stress Urinoma 
Cicatrix,Fever Body Weight Birth Weight Weight Loss Obesity Obesity Morbid Thinness Cardiac Output High Cyanosis Edema Fatigue Fetal Distress Heart Murmurs Motion Sickness Cerebrospinal Fluid Rhinorrhea Dystonia Torticollis Unconsciousness Syncope Mental Retardation Phantom Limb Muscle Spasticity Muscle Weakness Muscular Atrophy Trismus Pain Back Pain Low Back Pain Headache Neuralgia Sciatica Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Vocal Cord Paralysis Paresis Psychophysiologic Disorders Sensation Disorders Hearing Loss Hearing Loss Conductive Hearing Loss Sensorineural Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Vision Disorders Blindness Diplopia Scotoma Urinary Bladder Neurogenic Voice Disorders Hoarseness Abdominal Pain Abdomen Acute Arthralgia Chest Pain Angina Pectoris Angina Unstable Pain Postoperative Pelvic Pain Dysmenorrhea Pseudophakia Anorexia Constipation Diarrhea Vomiting Anoxia Fetal Hypoxia Cough Respiratory Sounds Snoring Skin Manifestations Jaundice Pruritus Purpura Purpura Schoenlein-Henoch Striae Distensae Proteinuria Urinary Bladder Overactive Urinary Incontinence Urinary Incontinence Stress 
Tissue Adhesions,Fever Body Weight Obesity Edema Eye Manifestations Trismus Pain Back Pain Low Back Pain Facial Pain Neck Pain Sciatica Pain Intractable Psychophysiologic Disorders Hearing Disorders Hearing Loss Conductive Tinnitus Hypesthesia Vision Disorders Abdominal Pain Abdomen Acute Colic Arthralgia Pain Postoperative Pelvic Pain Dysmenorrhea Constipation Nausea Anoxia Jaundice Urinary Incontinence Urinary Incontinence Stress 
Retroperitoneal Fibrosis,Fever Fever of Unknown Origin Body Weight Weight Loss Emaciation Edema Eye Manifestations Fatigue Hypergammaglobulinemia Intermittent Claudication Cerebellar Ataxia Tetany Pain Back Pain Low Back Pain Headache Hearing Loss Central Vision Disorders Blindness Abdominal Pain Abdomen Acute Colic Angina Pectoris Flank Pain Pelvic Pain Diarrhea Nausea Vomiting Hematemesis Dyspnea Jaundice Purpura Schoenlein-Henoch Purpura Thrombotic Thrombocytopenic Polyuria Proteinuria Albuminuria Urinoma Virilism 
Granuloma Foreign-Body,Fever Fever of Unknown Origin Weight Gain Edema Cerebrospinal Fluid Rhinorrhea Speech Disorders Muscle Spasticity Muscle Weakness Spasm Trismus Pain Back Pain Low Back Pain Facial Pain Headache Neuralgia Sciatica Paralysis Facial Paralysis Paraplegia Vocal Cord Paralysis Paresis Seizures Sensation Disorders Dizziness Deafness Hearing Loss Conductive Hearing Loss Sensorineural Hypesthesia Vision Disorders Blindness Vertigo Voice Disorders Oral Hemorrhage Abdominal Pain Abdomen Acute Shoulder Pain Toothache Pain Postoperative Constipation Diarrhea Vomiting Cough Dyspnea Hemoptysis Respiratory Sounds Jaundice Obstructive Urinary Incontinence Stress 
Granuloma Plasma Cell,Fever Fever of Unknown Origin Weight Loss Obesity Morbid Edema Fatigue Hypergammaglobulinemia Cerebrospinal Fluid Otorrhea Gait Disorders Neurologic Aphasia Dysarthria Confusion Syncope Muscle Weakness Trismus Pain Headache Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Quadriplegia Paresis Horner Syndrome Seizures Sensation Disorders Hearing Disorders Hearing Loss Hearing Loss Conductive Tinnitus Vision Disorders Diplopia Urinary Bladder Neurogenic Voice Disorders Dysphonia Hoarseness Abdominal Pain Abdomen Acute Arthralgia Chest Pain Earache Flank Pain Pain Postoperative Pelvic Pain Dysmenorrhea Vomiting Cough Dyspnea Hemoptysis Respiratory Sounds Jaundice Jaundice Obstructive Purpura Thrombocytopenic Idiopathic 
Granulomatosis Orofacial,Fever Edema Facial Pain 
Failure to Thrive,Fever Fever of Unknown Origin Body Weight Birth Weight Weight Gain Weight Loss Emaciation Cachexia Overweight Obesity Obesity Morbid Thinness Edema Ataxia Hyperkinesis Communication Disorders Language Disorders Learning Disorders Confusion Mental Retardation Psychomotor Disorders Muscle Hypertonia Muscle Hypotonia Muscle Weakness Pain Paralysis Ophthalmoplegia Psychophysiologic Disorders Reflex Abnormal Seizures Deafness Hearing Loss Sensorineural Sleep Deprivation Voice Disorders Colic Anorexia Constipation Diarrhea Diarrhea Infantile Dyspepsia Bulimia Vomiting Anoxia Apnea Cough Hypoventilation Respiratory Sounds Pruritus Polyuria Proteinuria 
Hemorrhage,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Fetal Macrosomia Weight Gain Weight Loss Obesity Obesity Morbid Cardiac Output High Cardiac Output Low Cyanosis Edema Edema Cardiac Hydrops Fetalis Eye Manifestations Eye Hemorrhage Fatigue Fetal Distress Hypergammaglobulinemia Intermittent Claudication Neurologic Manifestations Cerebrospinal Fluid Rhinorrhea Decerebrate State Dyskinesias Ataxia Cerebellar Ataxia Hyperkinesis Myoclonus Gait Disorders Neurologic Anomia Speech Disorders Aphasia Aphasia Wernicke Dysarthria Unconsciousness Coma Persistent Vegetative State Syncope Syncope Vasovagal Memory Disorders Amnesia Mental Retardation Perceptual Disorders Agnosia Muscle Cramp Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Trismus Orthostatic Intolerance Pain Back Pain Low Back Pain Headache Sciatica Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Paraparesis Psychophysiologic Disorders Miosis Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss Mixed Conductive-Sensorineural Hearing Loss Sensorineural Hearing Loss Noise-Induced Hearing Loss Sudden Tinnitus Hyperalgesia Hypesthesia Paresthesia Vision Disorders Amblyopia Blindness Color Vision Defects Diplopia Hemianopsia Scotoma Sleep Disorders Urinary Bladder Neurogenic Vertigo Voice Disorders Dysphonia Hoarseness Oral Manifestations Oral Hemorrhage Abdominal Pain Abdomen Acute Colic Arthralgia Chest Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Earache Flank Pain Pain Postoperative Pelvic Pain Dysmenorrhea Reticulocytosis Constipation Diarrhea Diarrhea Infantile Hyperphagia Nausea Postoperative Nausea and Vomiting Vomiting Hematemesis Hyperemesis Gravidarum Anoxia Fetal Hypoxia Apnea Cough Dyspnea Hemoptysis Hypercapnia Hyperoxia Hyperventilation Hypocapnia Hypoventilation Mouth Breathing Respiratory Sounds Sneezing Skin Manifestations Ecchymosis Jaundice Pallor Pruritus Purpura Purpura Hyperglobulinemic Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Waterhouse-Friderichsen Syndrome Dysuria Oliguria Proteinuria Albuminuria Hemoglobinuria Urinary Incontinence Urinary Incontinence Stress 
Blood Loss Surgical,Fever Cardiac Output Low Eye Hemorrhage Vision Disorders Blindness Pain Postoperative Hyperoxia 
Postoperative Hemorrhage,Fever Body Weight Birth Weight Obesity Obesity Morbid Cardiac Output Low Edema Eye Hemorrhage Consciousness Disorders Coma Muscle Spasticity Muscle Weakness Hemifacial Spasm Pain Low Back Pain Headache Neck Pain Paralysis Facial Paralysis Hemiplegia Paraplegia Vocal Cord Paralysis Paraparesis Miosis Seizures Hearing Loss Sensorineural Hypesthesia Paresthesia Taste Disorders Vision Disorders Blindness Diplopia Vision Low Oral Hemorrhage Abdominal Pain Acute Coronary Syndrome Angina Unstable Pain Postoperative Pelvic Pain Anorexia Postoperative Nausea and Vomiting Vomiting Hematemesis Anoxia Apnea Dyspnea Hemoptysis Snoring Purpura Thrombocytopenic Idiopathic Urinary Incontinence Urinary Incontinence Stress 
Shock Hemorrhagic,Fever Fever of Unknown Origin Hypothermia Body Weight Weight Gain Emaciation Obesity Cardiac Output Low Cyanosis Edema Edema Cardiac Decerebrate State Cerebellar Ataxia Confusion Consciousness Disorders Unconsciousness Coma Persistent Vegetative State Syncope Syncope Vasovagal Muscle Weakness Spasm Tetany Pain Paralysis Hemiplegia Paraplegia Quadriplegia Paresis Seizures Hearing Disorders Vision Disorders Blindness Oral Hemorrhage Abdominal Pain Abdomen Acute Diarrhea Diarrhea Infantile Vomiting Hematemesis Anoxia Fetal Hypoxia Apnea Hemoptysis Hypercapnia Hyperoxia Hyperventilation Hypoventilation Jaundice Jaundice Obstructive Pallor Purpura Purpura Thrombotic Thrombocytopenic Waterhouse-Friderichsen Syndrome Oliguria Proteinuria Albuminuria Hemoglobinuria 
Hyperbilirubinemia,Fever Fever of Unknown Origin Body Weight Birth Weight Weight Gain Weight Loss Cardiac Output Low Cyanosis Edema Fetal Distress Cerebellar Ataxia Athetosis Tremor Language Disorders Language Development Disorders Speech Disorders Stuttering Coma Mental Retardation Muscular Atrophy Pain Seizures Hearing Disorders Hearing Loss Deafness Hearing Loss Sensorineural Sleep Disorders Abdominal Pain Chest Pain Diarrhea Diarrhea Infantile Vomiting Anoxia Apnea Hypercapnia Hypocapnia Skin Manifestations Jaundice Jaundice Obstructive Pruritus Purpura Thrombotic Thrombocytopenic Hemoglobinuria 
Jaundice Obstructive,Fever Fever of Unknown Origin Body Weight Weight Loss Cachexia Obesity Obesity Morbid Cardiac Output Low Fatigue Neurologic Manifestations Dyskinesias Memory Disorders Pain Pain Intractable Abdominal Pain Abdomen Acute Colic Nausea Vomiting Dyspnea Jaundice Jaundice Obstructive Pruritus 
Hyperuricemia,Fever Body Weight Birth Weight Weight Gain Weight Loss Overweight Obesity Memory Disorders Mental Retardation Muscle Cramp Psychophysiologic Disorders Abdominal Pain Renal Colic Diarrhea Vomiting Anoxia Hyperoxia Snoring Proteinuria Albuminuria 
Hypovolemia,Fever Hypothermia Body Weight Birth Weight Obesity Cardiac Output Low Edema Hydrops Fetalis Cerebrospinal Fluid Rhinorrhea Decerebrate State Ataxia Syncope Muscle Cramp Headache Pupil Disorders Dizziness Blindness Scotoma Abdomen Acute Nausea Vomiting Anoxia Hypercapnia Hyperventilation Pruritus 
Acute-Phase Reaction,Fever Fever of Unknown Origin Hypothermia Body Weight Weight Gain Weight Loss Cachexia Overweight Obesity Edema Fatigue Delirium Mental Retardation Muscular Atrophy Pain Sciatica Hemiplegia Seizures Hearing Loss Hyperalgesia Vision Low Sleep Deprivation Arthralgia Angina Pectoris Angina Unstable Pain Postoperative Anorexia Anoxia Pruritus Purpura Thrombocytopenic Idiopathic Proteinuria 
Foreign-Body Reaction,Fever Fever of Unknown Origin Body Weight Obesity Obesity Morbid Edema Hydrops Fetalis Intermittent Claudication Cerebrospinal Fluid Otorrhea Phantom Limb Muscular Atrophy Pain Back Pain Low Back Pain Facial Pain Neuralgia Pain Intractable Facial Paralysis Vocal Cord Paralysis Paraparesis Seizures Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Vision Disorders Blindness Diplopia Voice Disorders Hoarseness Abdominal Pain Abdomen Acute Colic Arthralgia Pain Postoperative Pelvic Pain Nausea Vomiting Dyspnea Snoring Ecchymosis Jaundice Jaundice Obstructive Urinary Incontinence Urinary Incontinence Stress 
Serositis,Fever Weight Loss Fatigue Hypergammaglobulinemia Coma Pain Abdominal Pain Abdomen Acute Chest Pain Dyspnea Purpura Schoenlein-Henoch Purpura Thrombocytopenic Idiopathic Proteinuria Albuminuria 
Systemic Inflammatory Response Syndrome,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Weight Loss Cachexia Fetal Weight Obesity Obesity Morbid Thinness Edema Edema Cardiac Fatigue Intermittent Claudication Dystonia Confusion Delirium Consciousness Disorders Coma Muscle Hypotonia Muscle Weakness Muscular Atrophy Pain Quadriplegia Blindness Abdominal Pain Abdomen Acute Angina Pectoris Acute Coronary Syndrome Pain Postoperative Anorexia Diarrhea Diarrhea Infantile Anoxia Hyperoxia Jaundice Jaundice Obstructive Pruritus Purpura Thrombocytopenic Waterhouse-Friderichsen Syndrome Oliguria Albuminuria 
Intraoperative Complications,Fever Hypothermia Body Weight Birth Weight Weight Loss Cachexia Obesity Obesity Morbid Cardiac Output High Cardiac Output Low Cyanosis Edema Eye Hemorrhage Fetal Distress Flushing Heart Murmurs Hypergammaglobulinemia Intermittent Claudication Mobility Limitation Cerebrospinal Fluid Otorrhea Cerebrospinal Fluid Rhinorrhea Decerebrate State Dystonia Torticollis Myoclonus Akathisia Drug-Induced Synkinesis Tremor Anomia Aphasia Articulation Disorders Dysarthria Delirium Consciousness Disorders Unconsciousness Coma Persistent Vegetative State Syncope Syncope Vasovagal Amnesia Mental Retardation Fasciculation Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Trismus Tetany Pain Back Pain Low Back Pain Headache Metatarsalgia Neck Pain Neuralgia Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Pupil Disorders Anisocoria Miosis Horner Syndrome Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss Sensorineural Hearing Loss Central Hearing Loss Sudden Olfaction Disorders Paresthesia Vision Disorders Blindness Diplopia Hemianopsia Vision Low Sleep Disorders Urinary Bladder Neurogenic Hoarseness Oral Hemorrhage Abdominal Pain Abdomen Acute Shoulder Pain Chest Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Angina Pectoris Variant Pain Postoperative Pelvic Pain Dysmenorrhea Encopresis Hiccup Nausea Postoperative Nausea and Vomiting Vomiting Anoxia Apnea Cough Dyspnea Hemoptysis Hypercapnia Hyperoxia Hyperventilation Hypocapnia Hypoventilation Respiratory Aspiration Respiratory Sounds Snoring Pruritus Purpura Thrombocytopenic Idiopathic Oliguria Prostatism Albuminuria Hemoglobinuria Urinary Incontinence Urinary Incontinence Stress 
Infarction,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Weight Gain Cachexia Obesity Obesity Morbid Cardiac Output Low Edema Hydrops Fetalis Eye Manifestations Eye Pain Fatigue Intermittent Claudication Neurologic Manifestations Dyskinesias Ataxia Gait Ataxia Chorea Myoclonus Psychomotor Agitation Tremor Gait Disorders Neurologic Language Disorders Agraphia Speech Disorders Aphasia Dysarthria Mutism Confusion Delirium Coma Syncope Memory Disorders Amnesia Mental Retardation Agnosia Hallucinations Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Spasm Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Brown-Sequard Syndrome Quadriplegia Respiratory Paralysis Paresis Paraparesis Horner Syndrome Reflex Abnormal Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Sensorineural Hearing Loss Sudden Tinnitus Hyperalgesia Hypesthesia Paresthesia Vision Disorders Blindness Amaurosis Fugax Diplopia Hemianopsia Photophobia Scotoma Vision Low Sleep Disorders Vertigo Voice Disorders Abdominal Pain Abdomen Acute Colic Renal Colic Arthralgia Chest Pain Angina Pectoris Angina Unstable Flank Pain Pain Postoperative Pelvic Pain Anorexia Constipation Diarrhea Flatulence Bulimia Nausea Vomiting Hematemesis Anoxia Cheyne-Stokes Respiration Cough Dyspnea Hemoptysis Hyperventilation Sneezing Skin Manifestations Jaundice Purpura Purpura Schoenlein-Henoch Purpura Thrombocytopenic Idiopathic Waterhouse-Friderichsen Syndrome Polyuria Proteinuria Albuminuria Hemoglobinuria Urinary Incontinence 
